pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,label
-4921.48825627976,-546.1403981122177,-145.69206819515924,-644.5286662668826,-16.920898473534834,-124.88330726396707,1
3767.610767735932,-1077.8831903571981,-89.24367523079142,-596.4751779354966,0.004845105065668105,131.6248319764092,0
-6517.881564808289,-742.2293129089219,-192.17888978671013,-531.4293917616878,-58.036297438765416,97.99987277532742,1
-6994.437914928167,-735.9521825389699,-152.29828909654077,-739.8033455138909,-31.024234035956553,92.77769486690421,0
8132.512110445898,-607.6990643687164,-197.02016904716828,1328.5324689838822,-15.903664880325195,-321.5292083348827,1
-15891.260884054556,-69.64862636219713,-149.47253293471832,-777.5205193003263,-10.228457197084824,-277.32729737781256,0
-15135.438045751403,-174.59443733475948,-189.56902066778292,-760.3251134871444,-8.4750559639859,-202.3930645429622,1
201.96529154238578,-1070.3992274256166,-164.9469732670357,-760.8428938511217,-32.188110453868354,208.8305718384211,1
-1912.8625225249775,-633.8487505181694,-128.99715369445886,-794.8581707720157,-4.752151795925464,-132.34994706414057,0
4556.56777709845,-743.2711843128527,-115.0044147135699,382.2999901606953,-7.627331657122852,-149.17821672545946,0
10741.63989125354,1355.6296743715282,-225.36278608575668,612.2804796080669,-42.76175210025393,-303.3086489264527,0
7626.7047096428205,-651.4142263861969,-115.25483350692498,-291.9217322922372,-1.7389767841759212,-331.08456229248435,1
-8824.401889028875,-467.5014055244119,181.39831352714694,-583.685915054175,-86.9579674747242,-85.07156809055272,1
10305.53714187431,1514.8303909234735,-220.395529681791,1512.1147941475222,-29.111658589789272,-392.9452525612071,0
2628.6549216274143,-1138.0105160130204,-147.16129149414294,-689.826457033079,39.383328928493356,213.2836768653876,1
13799.829500054777,-1327.472205303771,-187.7085793330924,58.047235217767884,-77.39439043695837,133.58212551437492,0
7761.923358180439,-684.5795450038278,-216.57005360573314,1287.9817015438214,-78.73131190619179,-246.7068856647376,1
7251.882175087293,2621.4096773590145,-274.9348051318048,-486.27192631139945,-70.22723334393008,-271.411755255408,1
-15965.723198043153,-55.34241517189557,-163.45203519867778,-801.3472264985771,9.5198612424937,-295.1996572380659,0
-7869.2635177336515,-575.4160354945682,-168.36614320490673,-761.5255369567085,-24.57590362326274,-30.273951421899323,0
7110.697391399887,2655.8161171120983,-175.78463680883493,1139.3387201113394,-32.94496455026422,-232.2873525914334,0
7442.358381778344,2521.27422440607,-257.4756881788433,1188.2278326742014,15.169693693575777,-118.70713754126514,1
13777.634596963695,-1318.6422813485399,-187.91207277667766,57.79995171290702,-77.26247977871338,126.21456956056583,0
7222.355124473286,2621.345987606958,-197.20102022025972,532.110517907523,-11.302649904465083,-230.7360186983752,1
-2720.3899170962854,-499.2059427841956,65.67647056983124,-393.84191078136763,144.23292810355238,-199.91740429273045,0
11620.753080874856,-897.9590861878207,-157.87027335273976,-66.84014582252514,-11.677628265377477,-200.60234981338735,1
-8093.646830295344,-530.7990648813487,-154.32104747538017,-766.8697733885523,-19.054704679944503,-64.43417704972249,1
-14603.507759032009,-307.4569748415709,-212.1943510723935,2175.455766494262,-43.754164527841674,15.9732437042889,1
10689.1210886752,1387.4453904830573,-221.85609691533344,-133.22835867330912,-24.708725112173383,-352.41159208053733,0
-5867.861902182263,-675.3299802813381,-182.31409402555383,-692.2406158594231,-25.924252149718445,11.644203898140397,1
-9170.481520480029,-497.2857732054132,-199.79185496192116,2384.828294013805,-42.68755210380183,58.341808825444836,1
2037.8931846657247,-1268.3464265906837,-176.02622267239275,748.7458066785787,-20.62752157762333,399.63151317981124,1
3428.7084880851667,-1049.8551444299171,-184.82692417322596,-658.3327456509738,-63.36711375741319,112.85286767127617,1
-9326.698988811708,-480.185689198007,-177.9029546699135,276.41004162804745,-22.14018730861162,-34.205322647599694,1
6339.769550848568,2961.0706977154264,-278.6997422910587,1078.178977900816,-13.774715616675293,-490.9018348799342,0
